EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile
0,1,True,5,5,.,$MFT,,262144,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575573,256,,,,D:\$MFT
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575643,256,,,,D:\$MFT
2,2,True,5,5,.,$LogFile,,67108864,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575713,256,,,,D:\$MFT
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,67131912,257,b58a2b62-193f-44e8-bd34-a1cfa3451898,,,D:\$MFT
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575853,256,,,,D:\$MFT
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-04-10 12:21:17.7621273,2026-02-20 19:01:44.5574395,2026-04-10 12:21:17.7621273,2026-02-20 19:01:44.5574395,2026-04-13 12:28:24.3899158,2026-02-20 19:01:44.5574395,0,687900481,0,d1a9f3bb-1651-11f1-a5af-e86f3838a0ef,$TXF_DATA,,D:\$MFT
6,6,True,5,5,.,$Bitmap,,15261536,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575783,256,,,,D:\$MFT
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,0,0,,,,D:\$MFT
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575923,256,,,,D:\$MFT
8,8,True,5,5,.,$BadClus:$Bad,,500090007552,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,33575923,256,,,,D:\$MFT
9,9,True,5,5,.,$Secure,,266692,1,,False,True,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,2026-02-20 19:01:44.5574395,,0,662566879,257,,,,D:\$MFT
